id,company_id,esb_id,product_esb_id,code,name,output_qty,flag_active,bom_type_id,bom_type_name,product_name,uom_name,raw_data,synced_at,updated_at
255,1,296,,PREM-00034,Premium Gula Jawa ( Can ),1.00,true,3,Menu,,,"{""bomID"":296,""notes"":"""",""bomCode"":""PREM-00034"",""bomName"":""Premium Gula Jawa ( Can )"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
256,1,298,,PREM-00036,Premium Gula Jawa 1Lt,1.00,true,3,Menu,,,"{""bomID"":298,""notes"":"""",""bomCode"":""PREM-00036"",""bomName"":""Premium Gula Jawa 1Lt"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
257,1,363,,PREM-00037,Premium Gula Jawa Thumbler,1.00,true,3,Menu,,,"{""bomID"":363,""notes"":"""",""bomCode"":""PREM-00037"",""bomName"":""Premium Gula Jawa Thumbler"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
258,1,293,,PREM-00031,Premium Gula Kelapa,1.00,true,3,Menu,,,"{""bomID"":293,""notes"":"""",""bomCode"":""PREM-00031"",""bomName"":""Premium Gula Kelapa"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
259,1,295,,PREM-00033,Premium Gula Kelapa ( Can ),1.00,true,3,Menu,,,"{""bomID"":295,""notes"":"""",""bomCode"":""PREM-00033"",""bomName"":""Premium Gula Kelapa ( Can )"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
260,1,297,,PREM-00035,Premium Gula Kelapa 1Lt,1.00,true,3,Menu,,,"{""bomID"":297,""notes"":"""",""bomCode"":""PREM-00035"",""bomName"":""Premium Gula Kelapa 1Lt"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
261,1,364,,PREM-00038,Premium Gula Kelapa Thumbler,1.00,true,3,Menu,,,"{""bomID"":364,""notes"":"""",""bomCode"":""PREM-00038"",""bomName"":""Premium Gula Kelapa Thumbler"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
262,1,219,,BULK-00040,Premium Oat - Can 330ml (Bulk/Event),1.00,true,1,Assembly,- Premium Oat - Can 330ml (Bulk/Event),PORSI@300GR,"{""bomID"":219,""notes"":"""",""bomCode"":""BULK-00040"",""bomName"":""Premium Oat - Can 330ml (Bulk/Event)"",""uomName"":""PORSI@300GR"",""bomTypeID"":1,""flagActive"":1,""bomTypeName"":""Assembly"",""productName"":""- Premium Oat - Can 330ml (Bulk/Event)""}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
263,1,89,,PREM-00005,Premium Oat Milk,1.00,true,3,Menu,,,"{""bomID"":89,""notes"":"""",""bomCode"":""PREM-00005"",""bomName"":""Premium Oat Milk"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
264,1,129,,PREM-00026,Premium Oat Milk (Extra Sugar),1.00,true,3,Menu,,,"{""bomID"":129,""notes"":"""",""bomCode"":""PREM-00026"",""bomName"":""Premium Oat Milk (Extra Sugar)"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
265,1,120,,PREM-00019,Premium Oat Milk (Less Sugar),1.00,true,3,Menu,,,"{""bomID"":120,""notes"":"""",""bomCode"":""PREM-00019"",""bomName"":""Premium Oat Milk (Less Sugar)"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
266,1,162,,PREM-00012,Premium Oat Milk (No Sugar),1.00,true,3,Menu,,,"{""bomID"":162,""notes"":"""",""bomCode"":""PREM-00012"",""bomName"":""Premium Oat Milk (No Sugar)"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
267,1,148,,PREM-00007,Premium Oat Milk 1Lt,1.00,true,3,Menu,,,"{""bomID"":148,""notes"":"""",""bomCode"":""PREM-00007"",""bomName"":""Premium Oat Milk 1Lt"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
268,1,83,,PREM-00028,Premium Oat Milk 1Lt (Extra Sugar),1.00,true,3,Menu,,,"{""bomID"":83,""notes"":"""",""bomCode"":""PREM-00028"",""bomName"":""Premium Oat Milk 1Lt (Extra Sugar)"",""uomName"":null,""bomTypeID"":3,""flagActive"":1,""bomTypeName"":""Menu"",""productName"":null}",2026-08-21 18:25:37.136637+00,2026-08-28 06:30:34.085877+00
