id,company_id,esb_id,name,product_code,bom_name,category_name,sub_category_name,category_type_name,flag_active,normalized_name,raw_data,synced_at,updated_at
455,1,1398,STICKER UNIVERSAL 250ML,PCPB-00022,,PACKAGING,PACKAGING BAR,Inventory,true,,"{""bomName"":null,""productID"":1398,""flagActive"":true,""productCode"":""PCPB-00022"",""productName"":""STICKER UNIVERSAL 250ML"",""categoryName"":""PACKAGING"",""subCategoryName"":""PACKAGING BAR"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
456,1,1399,STICKER UNIVERSAL 330ML,PCPB-00023,,PACKAGING,PACKAGING BAR,Inventory,true,,"{""bomName"":null,""productID"":1399,""flagActive"":true,""productCode"":""PCPB-00023"",""productName"":""STICKER UNIVERSAL 330ML"",""categoryName"":""PACKAGING"",""subCategoryName"":""PACKAGING BAR"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
457,1,1400,STYROFOAM BESAR,KSUT-00032,,General,UTENSIL,Non Inventory,true,,"{""bomName"":null,""productID"":1400,""flagActive"":true,""productCode"":""KSUT-00032"",""productName"":""STYROFOAM BESAR"",""categoryName"":""General"",""subCategoryName"":""UTENSIL"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
458,1,1504,Styrofoam Box (Bulk/Event),BULK-00038,,General,Event/Bulk,Non Inventory,true,,"{""bomName"":null,""productID"":1504,""flagActive"":true,""productCode"":""BULK-00038"",""productName"":""Styrofoam Box (Bulk/Event)"",""categoryName"":""General"",""subCategoryName"":""Event/Bulk"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
459,1,1521,Styrofoam Box (Bulk/Event) - Packaging,PCPK-00006,,PACKAGING,PACKAGING KITCHEN,Inventory,true,,"{""bomName"":null,""productID"":1521,""flagActive"":true,""productCode"":""PCPK-00006"",""productName"":""Styrofoam Box (Bulk/Event) - Packaging"",""categoryName"":""PACKAGING"",""subCategoryName"":""PACKAGING KITCHEN"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
460,1,1608,STYROFOAM GG,KSUT-00036,,General,UTENSIL,Non Inventory,true,,"{""bomName"":null,""productID"":1608,""flagActive"":true,""productCode"":""KSUT-00036"",""productName"":""STYROFOAM GG"",""categoryName"":""General"",""subCategoryName"":""UTENSIL"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
461,1,1401,STYROFOAM KECIL,KSUT-00033,,General,UTENSIL,Non Inventory,true,,"{""bomName"":null,""productID"":1401,""flagActive"":true,""productCode"":""KSUT-00033"",""productName"":""STYROFOAM KECIL"",""categoryName"":""General"",""subCategoryName"":""UTENSIL"",""categoryTypeName"":""Non Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
462,1,1599,SUSHI NORI,RMKC-00049,,RAW MATERIAL FOOD,KITCHEN,Inventory,true,,"{""bomName"":null,""productID"":1599,""flagActive"":true,""productCode"":""RMKC-00049"",""productName"":""SUSHI NORI"",""categoryName"":""RAW MATERIAL FOOD"",""subCategoryName"":""KITCHEN"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
463,1,1408,SYRUP DAVINCI COOKIES 750ML,RMSY-00002,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1408,""flagActive"":true,""productCode"":""RMSY-00002"",""productName"":""SYRUP DAVINCI COOKIES 750ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
464,1,1409,SYRUP DAVINCI PECAN PRALINE 750ML,RMSY-00003,,RAW MATERIAL,SYRUP,Inventory,true,,"{""bomName"":null,""productID"":1409,""flagActive"":true,""productCode"":""RMSY-00003"",""productName"":""SYRUP DAVINCI PECAN PRALINE 750ML"",""categoryName"":""RAW MATERIAL"",""subCategoryName"":""SYRUP"",""categoryTypeName"":""Inventory""}",2026-08-21 18:25:32.021999+00,2026-08-28 07:30:20.376907+00
