id,company_id,esb_id,code,name,flag_active,raw_data,synced_at,updated_at
109,4,228,Unit,CTN@8PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
110,4,229,Unit,GALON@18000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
111,4,230,Unit,GALON@19000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
112,4,305,Unit,GALON@6000ML,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
113,4,231,Weight,GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
114,4,232,Unit,IKAT@10PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
115,4,233,Unit,JAR@1000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
116,4,234,Unit,JAR@700GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
117,4,235,Unit,JRG,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
118,4,236,Unit,JRG@18000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
119,4,237,Unit,JRG@6200GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
120,4,238,Unit,KANTONG@20000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
121,4,239,Unit,KARUNG@100PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
122,4,240,Unit,KARUNG@125PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
123,4,313,Unit,KARUNG@25KG,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
124,4,241,Unit,KARUNG@30PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
125,4,242,Unit,KARUNG@50PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
126,4,323,Unit,KARUNG@80PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
127,4,243,Weight,KG,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
128,4,244,Unit,KG@1000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
129,4,245,Unit,KRG@20000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
130,4,246,Unit,KRG@4PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
131,4,326,Unit,LBR@77PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
132,4,319,Unit,LEMBAR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
133,4,247,Unit,LEMBAR@54PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
134,4,320,Unit,LEMBAR@77PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
135,4,248,Unit,PACK,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
136,4,249,Unit,PACK@1000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
137,4,335,Unit,PACK@1000ML,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
138,4,250,Unit,PACK@100PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
139,4,329,Unit,PACK@102PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
140,4,251,Unit,PACK@10PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
141,4,252,Unit,PACK@10ROLL,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
142,4,253,Unit,PACK@1100GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
143,4,254,Unit,PACK@150PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
144,4,255,Unit,PACK@152GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
145,4,312,Unit,PACK@1KG,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
146,4,256,Unit,PACK@2000GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
147,4,322,Unit,PACK@20PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
148,4,257,Unit,PACK@220PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
149,4,325,Unit,PACK@2300GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
150,4,258,Unit,PACK@230GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
151,4,259,Unit,PACK@23PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
152,4,260,Unit,PACK@2500GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
153,4,342,Unit,PACK@250PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
154,4,261,Unit,PACK@25PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
155,4,262,Unit,PACK@275PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
156,4,333,Unit,PACK@320G,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
157,4,304,Unit,PACK@320GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
158,4,263,Unit,PACK@36PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
159,4,264,Unit,PACK@40PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
160,4,265,Unit,PACK@442GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
161,4,334,Unit,PACK@500G,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
162,4,266,Unit,PACK@500GR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
163,4,267,Unit,PACK@500PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
164,4,318,Unit,PACK@50LEMBAR,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
165,4,268,Unit,PACK@50PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
166,4,269,Unit,PACK@52PCS,true,{},2026-08-21 18:25:34.183797+00,2026-08-21 18:36:19.486079+00
